rec_idx,title,company,location,career,education,deadline,link,salary,crawled_at,score
52189186,기업 IT통합유지보수 외근직 경력무관 채용(OA),(주)케이원,부산전체,경력무관,고졸↑,~ 11/30(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52189186&location=ts&searchType=search&paid_fl=n&search_uuid=4eb65405-2a59-481c-b932-6792b4540c24,,2025-11-12 01:05:32,30
52188264,주식회사 엠케이디 기획자 채용,"주식회사엠케이디(MKDCo.,Ltd)",부산남구,경력무관,초대졸↑,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52188264&location=ts&searchType=search&paid_fl=n&search_uuid=4eb65405-2a59-481c-b932-6792b4540c24,,2025-11-12 01:05:32,30
52181065,소프트웨어 개발자(C/C++),(주)픽소니어,대전유성구,신입·경력,대졸↑,~ 11/29(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52181065&location=ts&searchType=search&paid_fl=n&search_uuid=4eb65405-2a59-481c-b932-6792b4540c24,,2025-11-12 01:05:32,30
52179292,[대구] Java 자바 백엔드 개발자 채용,(주)드림아이디어소프트,대구동구,경력무관,학력무관,~ 11/29(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52179292&location=ts&searchType=search&paid_fl=n&search_uuid=4eb65405-2a59-481c-b932-6792b4540c24,,2025-11-12 01:05:32,30
52179131,AI Engineer (Vision / LLM),(주)닷코,부산금정구,경력무관,대졸↑,~ 11/29(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52179131&location=ts&searchType=search&paid_fl=n&search_uuid=4eb65405-2a59-481c-b932-6792b4540c24,,2025-11-12 01:05:32,30
52171004,[경력무관] 웹 어플리케이션 개발자 모집,(주)투곰스,경남창원시,경력무관,학력무관,~ 12/28(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52171004&location=ts&searchType=search&paid_fl=n&search_uuid=4eb65405-2a59-481c-b932-6792b4540c24,,2025-11-12 01:05:32,30
52170007,DB(SQL)/C#/Java 정규직 채용(신입),유저스(주),대전유성구,경력무관,대졸↑,~ 11/28(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52170007&location=ts&searchType=search&paid_fl=n&search_uuid=4eb65405-2a59-481c-b932-6792b4540c24,,2025-11-12 01:05:32,30
52158874,B2B SaaS 프론트엔드 개발자 채용,(주)엑소스피어랩스,대전서구,경력무관,대졸↑,~ 11/27(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52158874&location=ts&searchType=search&paid_fl=n&search_uuid=4eb65405-2a59-481c-b932-6792b4540c24,,2025-11-12 01:05:32,30
52220796,"APP개발,  AI 개발 신입/경력 채용",(주)크림오프,경북경산시,경력무관,학력무관,~ 12/04(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52220796&location=ts&searchType=search&paid_fl=n&search_uuid=4eb65405-2a59-481c-b932-6792b4540c24,,2025-11-12 01:05:32,30
52026800,[딥아이] LLM 엔지니어 개발자 채용,(주)딥아이,부산기장군,경력무관,학력무관,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52026800&location=ts&searchType=search&paid_fl=n&search_uuid=bb983ef6-e9e6-4fe6-9370-0c6f624eaac3,,2025-11-12 01:05:31,30
