rec_idx,title,company,location,career,education,deadline,link,crawled_at
52095039,[부산] IT영업 담당자 (신입/경력),에스넷시스템(주),부산해운대구,신입·경력,고졸↑,~ 11/09(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52095039&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
52099344,대전 지사 보안/네트워크 엔지니어 채용 [신입/경력],제이큐브데이터(주),대전유성구,경력무관,초대졸↑,~ 11/20(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52099344&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
52094012,"[대전] 상주 엔지니어(서버, 스토리지, 보안솔루션, 가상화)",(주)테크아이,대전서구,경력무관,초대졸↑,~ 10/28(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52094012&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
52086234,보안솔루션 엔지니어  모집,(주)데이타뱅크,대구수성구,경력무관,초대졸↑,~ 11/19(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52086234&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
52042481,"어반리즘 하우스 경력/신입 채용공고(관광, 빅데이터분석)",어반리즘하우스(URBANRISMHAUS),부산해운대구,경력무관,대졸↑,내일마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52042481&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
52024863,[정규직] AI 분야 연구개발 소프트웨어 (S/W) 경력 모집 공고,(주)글로벌시스템스,대전유성구,신입·경력,대졸↑,~ 11/13(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52024863&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
51925912,2025 하반기 신입/경력 직원채용,(주)한솔오리온텍,울산전체,신입·경력,학력무관,~ 10/28(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51925912&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
51953315,"㈜위즈코리아 SE(시스템 엔지니어), PM 채용",(주)위즈코리아,서울강서구,신입·경력,학력무관,~ 10/31(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51953315&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
51791509,"GTA Aerospace 하반기 SW 연구개발 인력 모집(신입, 경력)",(주)지티에이에어로스페이스,경남진주시,경력무관,대졸↑,~ 10/31(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51791509&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
51938234,"[신입/경력]보안, 서버, 네트워크 시스템 엔지니어 정규직 채용",(주)라이노정보기술,경남김해시,경력무관,학력무관,~ 10/31(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51938234&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
51928074,스마트경영부 IT/전산 채용,(주)엔케이에더먼트,부산강서구,경력무관,학력무관,내일마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51928074&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
51882950,(주)리노인포텍 보안 솔루션 담당자 채용,(주)리노인포텍,부산해운대구,경력무관,학력무관,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51882950&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
51747854,네트워크 엔지니어 모집 (신입/경력),(주)넷티스트,대구동구,신입·경력,학력무관,~ 11/03(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51747854&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
51716742,공공기관 정보시스템 보안 기술자 정규직 채용 (신입&경력),(주)연무기술,대전유성구,경력무관,학력무관,~ 11/01(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51716742&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
51918094,경영관리부/연구개발부(응용프로그래머)/영업부 채용,(주)한맥아이피에스,대구전체,신입·경력,학력무관,~ 11/04(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51918094&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
51997335,"[SK바이오텍] 수시채용(IT기획,보안기획,안전,품질,HR사무서기)",에스케이바이오텍(주),대전전체,신입·경력,고졸↑,~ 11/03(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51997335&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
52108922,Tesla Korea 2025년 하반기 공개 채용,테슬라코리아(유),대구전체,신입·경력,학력무관,~ 10/30(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52108922&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
52082480,물류로봇 개발자 채용 (경력자우대),(주)벰로보틱스,부산강서구,경력무관,고졸↑,~ 11/19(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52082480&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
52083089,[800만명이 선택한 패스오더] '그로스마케터(그로스해커)' 채용,(주)페이타랩,부산전체,경력무관,학력무관,~ 11/19(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52083089&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
52105064,[연구소] 전자/통신 설계관련 연구개발 경력직 채용,(주)씨에스텍,대구동구,경력무관,대졸↑,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52105064&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
51973146,(주)솔리드이엔지  - ICT사업본부 클라우드사업팀 기술영업 모집,(주)솔리드이엔지,대전유성구,신입·경력,학력무관,~ 11/01(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51973146&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
52059479,IT 기술지원 인력 채용(보안솔루션 운영 및 구축),한신정보(주),경남창원시,경력무관,초대졸↑,~ 12/15(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52059479&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
52046801,시스템 엔지니어(신입&경력)를 모집합니다.,(주)라온정보,대전유성구,경력무관,초대졸↑,~ 10/31(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52046801&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
52018661,3차원 시각화 연구&개발 채용(부산),(주)이지스,부산해운대구,경력무관,학력무관,~ 11/30(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52018661&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
51982304,[스마트팩토리·DX·AI] 제조IT 웹디자인(퍼블리셔) 개발자 모집,주식회사디엑스플랫폼,대구달서구,경력무관,학력무관,~ 12/03(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51982304&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
51975002,2025년 4분기 분야별 공개채용,극동건설(주),대구전체,신입·경력,초대졸↑,~ 10/31(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51975002&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
51962629,Back-End 웹/앱 서비스 개발 및 유지보수 인력 채용,(주)스마트엠투엠,부산해운대구,경력무관,대졸↑,~ 11/30(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51962629&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
51939080,"개발자(백엔드,AI NLP,AI 데이터처리) 신입/경력 모집",(주)엔디소프트,부산해운대구,경력무관,학력무관,~ 10/29(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51939080&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
51928591,기업체 컴퓨터 및 주변기기 유지보수 신입 및 경력-연봉협의,(주)디오시스템,대구달성군,경력무관,학력무관,~ 11/25(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51928591&location=ts&searchType=search&paid_fl=n&search_uuid=d39581ed-0066-40d5-bc07-983a696d8be1,2025-10-25 06:45:58
